Year;Ticker;ID_ISIN;Name;ESG;ENVIRONMENTAL;SOCIAL;GOVERNANCE;AIR_QUALITY;CLIMATE_EXPOS;ECOLOGICAL_IMPACT;ENERGY_MANAGEMENT;ENV_SPPLY_CHAIN_MGMT;GHG_EMISSIONS_MNGT;SUSTAINABLE_FINANCE;SUSTAINABLE_PRODUCT;WASTE_MANAGEMENT;WATER_MANAGEMENT;ACCESS_AFFORDABILITY;COMM_RIGHTS_RELATION;CUSTOMER_WELFARE;DATA_SEC_CSTMR_PRIVCY;ETHICS_COMPLIANCE;LABOR_EMPLYMNT_PRACT;MARKETING_LABELING;OHS_MGMT;OPERATION_RISK_MGMT;PRODUCT_QUALITY_MNGT;SOCIAL_SPPL_CHN_MGMT;BOD_DIRECTOR_ROLES;BOD_DIVERSITY;BOD_INDEPENDENCE;BOD_REFRESHMENT;INCENTIVE_STRUCTURE;PAY_PERFORMANCE;PAY_GOVERNANCE;DIRECTOR_VOTING;SHAREHOLDER_POLICIES;AUDIT_CMTE;AUDIT_OUTCOME;EXTERNAL_AUDITOR;SALES_REV_TURN;EBITDA;EBIT;PRETAX_INC;NET_INCOME;BS_TOT_ASSET;EARN_FOR_COMMON;TOT_COMMON_EQY;TOTAL_EQUITY;BS_LT_BORROW;IS_RD_EXPEND;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_SH_OUT;PX_LAST;BS_TOT_LIAB2;PFD_EQTY_HYBRID_CAPITAL;MINORITY_NONCONTROLLING_INTEREST;CURRENT_FULL_FISCAL_YEAR_END;EBIT_ON_ASSET;RETURN_ON_ASSET;RETURN_COM_EQY;TOBIN_Q_RATIO;SALES_GROWTH;LT_DEBT_TO_TOT_ASSET;RD_EXPEND_TO_NET_SALES;CUR_RATIO;BETA_RAW_OVERRIDABLE;GICS_SECTOR_NAME
2021;INTC UW Equity;US4581401001;Intel Corp;6,04;6,45;4,47;7,21;#N/A N/A;#N/A N/A;#N/A N/A;7,03;#N/A N/A;8,82;#N/A N/A;3,00;6,21;7,18;#N/A N/A;10,00;#N/A N/A;#N/A N/A;3,00;4,33;#N/A N/A;6,31;#N/A N/A;3,00;#N/A N/A;7,56;7,58;10,00;8,40;7,40;7,28;4,23;4,91;7,32;10,00;10,00;6,10; $79.024.000.000,00 ; $31.426.000.000,00 ; $19.456.000.000,00 ; $21.703.000.000,00 ; $19.868.000.000,00 ; $168.406.000.000,00 ; $19.868.000.000,00 ; $95.391.000.000,00 ; $95.391.000.000,00 ; $33.805.000.000,00 ; $15.190.000.000,00 ; $57.718.000.000,00 ; $27.462.000.000,00 ; 4.070.000.000,00 ; $51,50 ; $73.015.000.000,00 ; $-   ; $-   ;30.12.2023;11,55%;12,36%;22,52%;1,68;1,49%;20,07%;19,22%;2,10;0,93;Information Technology
2022;INTC UW Equity;US4581401001;Intel Corp;6,31;6,33;4,49;8,35;#N/A N/A;#N/A N/A;#N/A N/A;6,89;#N/A N/A;8,24;#N/A N/A;3,00;6,94;6,85;#N/A N/A;10,00;#N/A N/A;#N/A N/A;3,00;4,46;#N/A N/A;6,31;#N/A N/A;3,00;#N/A N/A;6,17;7,60;9,67;9,36;8,77;8,29;8,96;9,35;7,32;10,00;10,00;6,18; $63.054.000.000,00 ; $15.547.000.000,00 ; $2.334.000.000,00 ; $7.768.000.000,00 ; $8.014.000.000,00 ; $182.103.000.000,00 ; $8.014.000.000,00 ; $101.423.000.000,00 ; $103.286.000.000,00 ; $37.920.000.000,00 ; $17.528.000.000,00 ; $50.407.000.000,00 ; $32.155.000.000,00 ; 4.137.000.000,00 ; $26,43 ; $78.817.000.000,00 ; $-   ; $1.863.000.000,00 ;30.12.2023;1,28%;4,57%;8,14%;1,04;-20,21%;20,82%;27,80%;1,57;0,92;Information Technology
2023;INTC UW Equity;US4581401001;Intel Corp;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $54.228.000.000,00 ; $9.889.000.000,00 ; $93.000.000,00 ; $762.000.000,00 ; $1.689.000.000,00 ; $191.572.000.000,00 ; $1.689.000.000,00 ; $105.590.000.000,00 ; $109.965.000.000,00 ; $47.267.000.000,00 ; $16.046.000.000,00 ; $43.269.000.000,00 ; $28.053.000.000,00 ; 4.228.000.000,00 ; $50,25 ; $81.607.000.000,00 ; $-   ; $4.375.000.000,00 ;30.12.2023;0,05%;0,90%;1,63%;1,59;-14,00%;24,67%;29,59%;1,54;1,17;Information Technology
2015;INTU UW Equity;US4612021034;Intuit Inc;3,31;4,75;0,69;6,78;#N/A N/A;#N/A N/A;#N/A N/A;6,19;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;0,77;2,19;0,59;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;7,55;4,71;4,96;2,77;8,23;6,51;8,28;8,78;6,06;9,49;10,00;8,86; $4.467.000.000,00 ; $1.182.000.000,00 ; $949.000.000,00 ; $910.000.000,00 ; $508.000.000,00 ; $4.349.000.000,00 ; $508.000.000,00 ; $641.000.000,00 ; $641.000.000,00 ; $1.000.000.000,00 ; $839.000.000,00 ; $1.467.000.000,00 ; $2.349.000.000,00 ; 260.473.000,00 ; $96,50 ; $3.708.000.000,00 ; $-   ; $-   ;31.07.2023;21,82%;10,59%;33,92%;24,16;1,57%;22,99%;18,78%;0,62;1,08;Information Technology
2016;INTU UW Equity;US4612021034;Intuit Inc;3,79;5,40;0,94;7,45;#N/A N/A;#N/A N/A;#N/A N/A;7,46;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;0,77;2,19;1,94;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;6,63;6,68;6,59;6,54;8,11;5,21;8,34;9,33;6,52;9,49;10,00;8,90; $4.852.000.000,00 ; $1.427.000.000,00 ; $1.190.000.000,00 ; $1.153.000.000,00 ; $969.000.000,00 ; $4.373.000.000,00 ; $969.000.000,00 ; $785.000.000,00 ; $785.000.000,00 ; $463.000.000,00 ; $952.000.000,00 ; $1.679.000.000,00 ; $2.803.000.000,00 ; 256.002.000,00 ; $114,61 ; $3.588.000.000,00 ; $-   ; $-   ;31.07.2023;27,21%;22,22%;135,90%;23,61;8,62%;10,59%;19,62%;0,60;1,15;Information Technology
2017;INTU UW Equity;US4612021034;Intuit Inc;3,80;5,15;0,98;7,70;#N/A N/A;#N/A N/A;#N/A N/A;6,96;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;0,77;2,19;2,21;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;6,71;8,33;6,86;6,38;7,94;5,32;9,40;9,58;6,52;9,49;10,00;8,54; $5.632.000.000,00 ; $1.844.000.000,00 ; $1.593.000.000,00 ; $1.585.000.000,00 ; $1.169.000.000,00 ; $4.898.000.000,00 ; $1.169.000.000,00 ; $1.157.000.000,00 ; $1.157.000.000,00 ; $413.000.000,00 ; $1.088.000.000,00 ; $1.902.000.000,00 ; $3.032.000.000,00 ; 256.076.000,00 ; $157,78 ; $3.741.000.000,00 ; $-   ; $-   ;31.07.2023;32,52%;25,22%;120,39%;21,11;16,08%;8,43%;19,32%;0,63;1,22;Information Technology
2018;INTU UW Equity;US4612021034;Intuit Inc;4,07;5,98;1,12;7,54;#N/A N/A;#N/A N/A;#N/A N/A;8,61;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;0,77;2,19;3,12;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;6,75;6,20;6,86;6,66;7,76;6,60;9,28;9,41;6,52;9,49;10,00;7,28; $6.294.000.000,00 ; $1.862.000.000,00 ; $1.624.000.000,00 ; $1.631.000.000,00 ; $1.371.000.000,00 ; $5.335.000.000,00 ; $1.371.000.000,00 ; $2.796.000.000,00 ; $2.796.000.000,00 ; $363.000.000,00 ; $1.196.000.000,00 ; $2.644.000.000,00 ; $2.001.000.000,00 ; 259.110.000,00 ; $196,85 ; $2.539.000.000,00 ; $-   ; $-   ;31.07.2023;30,44%;26,80%;69,37%;19,38;11,75%;6,80%;19,00%;1,32;1,20;Information Technology
2019;INTU UW Equity;US4612021034;Intuit Inc;3,51;4,05;1,12;7,35;#N/A N/A;#N/A N/A;#N/A N/A;8,84;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;0,77;2,19;3,11;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;5,06;5,71;5,79;7,20;7,63;7,73;8,94;9,37;6,52;9,49;10,00;7,51; $7.127.000.000,00 ; $2.161.000.000,00 ; $1.911.000.000,00 ; $1.964.000.000,00 ; $1.631.000.000,00 ; $6.701.000.000,00 ; $1.631.000.000,00 ; $3.727.000.000,00 ; $3.727.000.000,00 ; $659.000.000,00 ; $1.311.000.000,00 ; $3.690.000.000,00 ; $2.204.000.000,00 ; 260.517.000,00 ; $261,93 ; $2.974.000.000,00 ; $-   ; $-   ;31.07.2023;28,52%;27,10%;50,01%;15,58;13,23%;9,83%;18,39%;1,67;1,19;Information Technology
2020;INTU UW Equity;US4612021034;Intuit Inc;3,63;4,35;1,13;7,50;#N/A N/A;#N/A N/A;#N/A N/A;9,55;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;0,77;2,19;3,22;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;5,73;5,64;6,46;7,43;7,55;8,29;8,89;9,33;6,52;9,49;10,00;7,22; $7.717.000.000,00 ; $2.370.000.000,00 ; $2.080.000.000,00 ; $2.126.000.000,00 ; $1.747.000.000,00 ; $14.598.000.000,00 ; $1.747.000.000,00 ; $8.868.000.000,00 ; $8.868.000.000,00 ; $2.424.000.000,00 ; $1.704.000.000,00 ; $4.094.000.000,00 ; $2.677.000.000,00 ; 273.961.000,00 ; $379,85 ; $5.730.000.000,00 ; $-   ; $-   ;31.07.2023;14,25%;16,40%;27,74%;12,46;8,28%;16,61%;22,08%;1,53;1,19;Information Technology
2021;INTU UW Equity;US4612021034;Intuit Inc;4,41;7,10;1,14;7,74;#N/A N/A;#N/A N/A;#N/A N/A;9,54;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;4,21;#N/A N/A;#N/A N/A;#N/A N/A;0,77;2,19;3,26;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;5,78;6,76;6,78;8,20;7,44;9,04;8,92;9,39;6,52;9,49;10,00;6,76; $11.414.000.000,00 ; $3.192.000.000,00 ; $2.567.000.000,00 ; $2.592.000.000,00 ; $2.172.000.000,00 ; $26.303.000.000,00 ; $2.172.000.000,00 ; $15.595.000.000,00 ; $15.595.000.000,00 ; $7.161.000.000,00 ; $2.105.000.000,00 ; $3.490.000.000,00 ; $2.968.000.000,00 ; 283.000.000,00 ; $643,22 ; $10.708.000.000,00 ; $-   ; $-   ;31.07.2023;9,76%;10,62%;17,76%;7,33;47,91%;27,23%;18,44%;1,18;1,19;Information Technology
2022;INTU UW Equity;US4612021034;Intuit Inc;4,25;6,48;1,05;7,99;#N/A N/A;#N/A N/A;#N/A N/A;8,38;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;4,17;#N/A N/A;#N/A N/A;#N/A N/A;0,77;2,19;2,64;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;7,73;7,36;8,89;5,47;7,32;9,65;9,09;9,58;6,52;9,49;10,00;6,85; $13.684.000.000,00 ; $3.611.000.000,00 ; $2.666.000.000,00 ; $2.534.000.000,00 ; $1.946.000.000,00 ; $27.202.000.000,00 ; $1.946.000.000,00 ; $15.842.000.000,00 ; $15.842.000.000,00 ; $7.090.000.000,00 ; $2.482.000.000,00 ; $4.756.000.000,00 ; $3.862.000.000,00 ; 280.668.000,00 ; $389,22 ; $11.360.000.000,00 ; $-   ; $-   ;31.07.2023;9,80%;7,27%;12,38%;4,43;19,89%;26,06%;18,14%;1,23;1,37;Information Technology
2023;INTU UW Equity;US4612021034;Intuit Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $15.094.000.000,00 ; $4.342.000.000,00 ; $3.471.000.000,00 ; $3.347.000.000,00 ; $2.770.000.000,00 ; $29.688.000.000,00 ; $2.770.000.000,00 ; $16.908.000.000,00 ; $16.908.000.000,00 ; $6.423.000.000,00 ; $2.642.000.000,00 ; $7.300.000.000,00 ; $6.216.000.000,00 ; 280.025.000,00 ; $625,03 ; $12.780.000.000,00 ; $-   ; $-   ;31.07.2023;11,69%;9,74%;16,92%;6,50;10,30%;21,64%;17,50%;1,17;1,54;Information Technology
2015;INVH UN Equity;US46187W1071;Invitation Homes Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $836.049.000,00 ; $384.619.000,00 ; $114.377.000,00 ; $-160.208.000,00 ; $-160.208.000,00 ; $9.796.978.000,00 ; $-160.208.000,00 ; $1.887.031.000,00 ; $1.887.031.000,00 ; $7.611.934.000,00 ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; $7.909.947.000,00 ; $-   ; $-   ;31.12.2023;1,17%;-1,69%;-7,38%;#WERT!;26,92%;77,70%;#WERT!;#N/A;#N/A N/A;Real Estate
2016;INVH UN Equity;US46187W1071;Invitation Homes Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $922.587.000,00 ; $472.214.000,00 ; $190.777.000,00 ; $-78.239.000,00 ; $-78.239.000,00 ; $9.732.351.000,00 ; $-78.239.000,00 ; $1.957.423.000,00 ; $1.957.423.000,00 ; $7.570.279.000,00 ; #N/A ; #N/A ; #N/A ; 310.376.634,00 ; #N/A ; $7.774.928.000,00 ; $-   ; $-   ;31.12.2023;1,96%;-0,80%;-4,07%;1,74;10,35%;77,78%;#WERT!;#N/A;#N/A N/A;Real Estate
2017;INVH UN Equity;US46187W1071;Invitation Homes Inc;1,86;0,00;1,50;6,02;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;4,59;3,20;8,02;10,00;6,34;8,39;4,23;6,52;6,72;9,49;10,00;5,64; $1.054.456.000,00 ; $439.928.000,00 ; $118.207.000,00 ; $-105.826.000,00 ; $-105.337.000,00 ; $18.683.638.000,00 ; $-105.337.000,00 ; $8.498.085.000,00 ; $8.649.875.000,00 ; $7.580.153.000,00 ; #N/A ; #N/A ; #N/A ; 519.173.142,00 ; $23,57 ; $10.033.763.000,00 ; $-   ; $151.790.000,00 ;31.12.2023;0,63%;-0,74%;-2,01%;1,37;14,29%;40,57%;#WERT!;#N/A;0,12;Real Estate
2018;INVH UN Equity;US46187W1071;Invitation Homes Inc;2,10;0,15;1,50;6,50;#N/A N/A;1,00;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,46;4,46;7,28;10,00;7,65;3,25;9,13;6,36;6,72;9,49;10,00;7,40; $1.722.962.000,00 ; $893.741.000,00 ; $321.942.000,00 ; $-5.013.000,00 ; $-4.927.000,00 ; $18.063.428.000,00 ; $-4.927.000,00 ; $8.229.111.000,00 ; $8.369.186.000,00 ; $7.201.654.000,00 ; #N/A ; #N/A ; #N/A ; 520.647.977,00 ; $20,08 ; $9.694.242.000,00 ; $-   ; $140.075.000,00 ;31.12.2023;1,78%;-0,03%;-0,06%;1,40;63,40%;39,87%;#WERT!;#N/A;0,51;Real Estate
2019;INVH UN Equity;US46187W1071;Invitation Homes Inc;2,28;0,15;1,50;7,25;#N/A N/A;1,00;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;4,93;4,28;7,00;10,00;8,04;9,76;8,79;9,14;6,72;9,49;10,00;7,69; $1.764.685.000,00 ; $954.747.000,00 ; $406.348.000,00 ; $147.111.000,00 ; $145.463.000,00 ; $17.392.910.000,00 ; $145.858.000,00 ; $8.214.422.000,00 ; $8.266.078.000,00 ; $6.653.226.000,00 ; #N/A ; #N/A ; #N/A ; 541.642.725,00 ; $29,97 ; $9.126.832.000,00 ; $-   ; $51.656.000,00 ;31.12.2023;2,34%;0,82%;1,77%;1,45;2,42%;38,25%;#WERT!;#N/A;0,46;Real Estate
2020;INVH UN Equity;US46187W1071;Invitation Homes Inc;3,31;0,76;4,23;8,02;#N/A N/A;1,00;#N/A N/A;0,00;#N/A N/A;0,34;#N/A N/A;0,00;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;4,23;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,49;5,52;10,00;9,98;8,31;9,95;8,87;9,74;6,72;9,49;10,00;7,90; $1.822.828.000,00 ; $1.035.728.000,00 ; $467.141.000,00 ; $197.449.000,00 ; $196.212.000,00 ; $17.506.222.000,00 ; $196.660.000,00 ; $8.504.825.000,00 ; $8.556.073.000,00 ; $5.237.181.000,00 ; #N/A ; #N/A ; #N/A ; 567.117.666,00 ; $29,70 ; $8.950.149.000,00 ; $-   ; $51.248.000,00 ;31.12.2023;2,67%;1,12%;2,35%;1,98;3,29%;29,92%;#WERT!;#N/A;1,23;Real Estate
2021;INVH UN Equity;US46187W1071;Invitation Homes Inc;3,76;0,76;6,81;8,72;#N/A N/A;1,00;#N/A N/A;0,00;#N/A N/A;0,34;#N/A N/A;0,00;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,81;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,60;6,56;10,00;8,30;9,93;9,52;8,86;9,70;7,54;9,49;10,00;7,28; $1.996.615.000,00 ; $1.149.081.000,00 ; $542.230.000,00 ; $262.776.000,00 ; $261.425.000,00 ; $18.537.846.000,00 ; $261.752.000,00 ; $9.797.742.000,00 ; $9.838.804.000,00 ; $3.470.422.000,00 ; #N/A ; #N/A ; #N/A ; 601.045.438,00 ; $45,34 ; $8.699.042.000,00 ; $-   ; $41.062.000,00 ;31.12.2023;2,92%;1,45%;2,86%;1,94;9,53%;18,72%;#WERT!;#N/A;1,35;Real Estate
2022;INVH UN Equity;US46187W1071;Invitation Homes Inc;3,64;0,76;6,37;8,44;#N/A N/A;1,00;#N/A N/A;0,00;#N/A N/A;0,34;#N/A N/A;0,00;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,37;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,56;6,45;10,00;9,38;9,46;8,33;7,26;8,96;7,54;9,49;10,00;8,65; $2.238.121.000,00 ; $1.264.396.000,00 ; $622.998.000,00 ; $384.799.000,00 ; $383.329.000,00 ; $18.536.708.000,00 ; $382.668.000,00 ; $10.291.342.000,00 ; $10.323.631.000,00 ; $2.062.250.000,00 ; #N/A ; #N/A ; #N/A ; 611.411.382,00 ; $29,64 ; $8.213.077.000,00 ; $-   ; $32.289.000,00 ;31.12.2023;3,36%;2,07%;3,81%;1,42;12,10%;11,13%;#WERT!;#N/A;1,27;Real Estate
2023;INVH UN Equity;US46187W1071;Invitation Homes Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $2.432.278.000,00 ; $1.368.511.000,00 ; $690.907.000,00 ; $521.028.000,00 ; $519.470.000,00 ; $19.220.967.000,00 ; $520.166.000,00 ; $10.155.971.000,00 ; $10.190.435.000,00 ; $2.039.868.000,00 ; #N/A ; #N/A ; #N/A ; 611.958.239,00 ; $34,11 ; $9.030.532.000,00 ; $-   ; $34.464.000,00 ;31.12.2023;3,59%;2,75%;5,09%;1,92;8,68%;10,61%;#WERT!;#N/A;0,97;Real Estate
2015;IP UN Equity;US4601461035;International Paper Co;4,21;2,03;4,02;8,11;3,56;#N/A N/A;8,72;4,67;0,66;1,96;#N/A N/A;0,00;0,00;4,98;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,61;#N/A N/A;4,31;#N/A N/A;8,55;3,32;8,17;8,35;7,70;9,51;9,44;9,33;8,07;9,99;10,00;7,26; $20.675.000.000,00 ; $2.981.000.000,00 ; $1.687.000.000,00 ; $1.132.000.000,00 ; $938.000.000,00 ; $30.531.000.000,00 ; $938.000.000,00 ; $3.884.000.000,00 ; $3.909.000.000,00 ; $8.844.000.000,00 ; $27.000.000,00 ; $6.477.000.000,00 ; $3.924.000.000,00 ; 412.140.000,00 ; $35,70 ; $26.622.000.000,00 ; $-   ; $25.000.000,00 ;31.12.2023;5,53%;3,17%;20,85%;1,34;-12,46%;28,97%;0,13%;1,65;1,12;Materials
2016;IP UN Equity;US4601461035;International Paper Co;3,78;1,25;4,74;8,18;3,00;#N/A N/A;7,04;1,22;0,74;1,86;#N/A N/A;0,00;0,00;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,38;#N/A N/A;4,31;#N/A N/A;8,50;3,25;8,17;9,66;7,56;9,85;9,37;7,81;8,60;10,00;10,00;8,59; $19.495.000.000,00 ; $3.206.000.000,00 ; $1.979.000.000,00 ; $795.000.000,00 ; $904.000.000,00 ; $33.093.000.000,00 ; $904.000.000,00 ; $4.341.000.000,00 ; $4.359.000.000,00 ; $11.075.000.000,00 ; $20.000.000,00 ; $6.670.000.000,00 ; $4.069.000.000,00 ; 411.229.000,00 ; $50,24 ; $28.734.000.000,00 ; $-   ; $18.000.000,00 ;31.12.2023;5,98%;2,84%;21,98%;1,30;-5,71%;33,47%;0,10%;1,64;1,06;Materials
2017;IP UN Equity;US4601461035;International Paper Co;3,74;1,29;4,64;7,97;3,00;#N/A N/A;7,04;1,38;0,74;2,04;#N/A N/A;0,00;0,00;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,12;#N/A N/A;4,31;#N/A N/A;6,54;3,98;8,17;9,27;7,09;9,20;9,25;8,79;8,60;9,99;10,00;6,79; $21.743.000.000,00 ; $3.373.000.000,00 ; $1.950.000.000,00 ; $848.000.000,00 ; $2.144.000.000,00 ; $33.903.000.000,00 ; $2.144.000.000,00 ; $6.522.000.000,00 ; $6.541.000.000,00 ; $10.846.000.000,00 ; $28.000.000,00 ; $8.277.000.000,00 ; $5.102.000.000,00 ; 412.925.000,00 ; $54,86 ; $27.362.000.000,00 ; $-   ; $19.000.000,00 ;31.12.2023;5,75%;6,40%;39,47%;1,23;11,53%;31,99%;0,13%;1,62;1,12;Materials
2018;IP UN Equity;US4601461035;International Paper Co;3,52;1,70;1,37;7,80;3,00;#N/A N/A;0,00;1,44;1,05;2,19;#N/A N/A;3,00;0,00;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;4,27;#N/A N/A;0,00;#N/A N/A;6,82;4,63;8,17;9,55;7,18;8,86;9,43;6,75;8,60;10,00;10,00;6,23; $23.306.000.000,00 ; $4.139.000.000,00 ; $2.811.000.000,00 ; $1.781.000.000,00 ; $2.012.000.000,00 ; $33.576.000.000,00 ; $2.012.000.000,00 ; $7.362.000.000,00 ; $7.383.000.000,00 ; $10.015.000.000,00 ; $30.000.000,00 ; $6.996.000.000,00 ; $4.694.000.000,00 ; 400.590.000,00 ; $38,22 ; $26.193.000.000,00 ; $-   ; $21.000.000,00 ;31.12.2023;8,37%;5,96%;28,98%;1,19;7,19%;29,83%;0,13%;1,49;1,03;Materials
